Id,Workstation,Stream,Job,Server run,Schedule,Script,User id run,Dependency,Stream related
586,B03ACIAPP019,EIW_NRT_MON,EIW_XML_RDMP_ADJ_FACT_LOOP,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
571,B03ACIAPP017,EIW_DUMMY_TEST,IGS_TEST_3,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
581,B03ACIAPP018,EIW_STAR_LOAD,EIW_STAR_OMATIC_LOAD,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
563,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_CVI,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
587,B03ACIAPP019,EIW_NRT_MON,EIW_XML_CMPNT_STC_LOOP,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
578,B03ACIAPP027,EIW_DNMC_CUBE_EM,EIW_SYSHW_TRIG_UPDATE_EM,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
551,B03ACIAPP017,EIW_ORG_EXPLOAD,EIW_ORG_MVS_EXP,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
562,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_MAP3,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
572,B03ACIAPP017,EIW_STAR_LOAD,EIW_STAR_OMATIC_LOAD,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
573,B03ACIAPP017,EIW_DUMMY_TEST,EIW_DUMMY_TEST,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
612,B03ACIAPP019,EIW_PST_TSS_W_AM,EIW_SCED_TSS_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
611,B03ACIAPP019,EIW_PST_TSS_W_30,EIW_SCED_TSS_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
610,B03ACIAPP019,EIW_P2C_W_30,EIW_P2P_W_VALID_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
555,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_NET2,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
609,B03ACIAPP019,EIW_P2C_W_30,EIW_PWP_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
608,B03ACIAPP019,EIW_P2C_W_30,EIW_P2P_W_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
607,B03ACIAPP019,EIW_P2C_W_30,EIW_P2C_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
606,B03ACIAPP019,EIW_P2C_W_30,EIW_P2V_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
605,B03ACIAPP019,EIW_P2C_W_30,EIW_P2E_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
604,B03ACIAPP017,EIW_DAPAM,EIW_DAP_PM_DM_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
603,B03ACIAPP017,EIW_DAPAM,EIW_DAP_PM_SC_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
602,B03ACIAPP017,EIW_DAPAM,EIW_DS_FVMEASREV_XFORM_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
601,B03ACIAPP017,EIW_DAPAM,EIW_DS_OPPRPTBRAND_CLIP_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
600,B03ACIAPP019,EIW_OPPDTLC_AM1,EIW_OPPDTL_AM_DM_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
556,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_NET3,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
570,B03ACIAPP017,EIW_DAPAM,EIW_PM_DLYREV,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
569,B03ACIAPP017,EIW_DAPAM,EIW_PM_DLYGEOINIT_AM,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
599,B03ACIAPP019,EIW_OPPDTLC_AM1,EIW_OPPDTLC_AM_CMF2_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
568,B03ACIAPP019,EIW_OPPDTLC_AM1,EIW_OPPDTL_AM_OWNG_AM,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
557,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_NET4,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
558,B03ACIAPP017,EIW_DPROPLOAD1,EIW_END_DPROP1,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
574,B03ACIAPP017,EIW_WSAI_TSS_AP,EIW_SCED_TSS_LOAD_AP,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
583,B03ACIAPP018,EIW_WSAI_TSS_EM,EIW_SCED_TSS_LOAD_EM,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
575,B03ACIAPP017,EIW_WSAI_TSS_EM,EIW_SCED_TSS_LOAD_EM,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
584,B03ACIAPP018,EIW_WSAI_TSS_AM,EIW_SCED_TSS_LOAD_AM,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
598,B03ACIAPP019,EIW_OPPDTLC_AM1,EIW_OPPDTLC_AM_INDC_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
559,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_MAP,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
560,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_MAP1,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
561,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_MAP2,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
585,B03ACIAPP019,EIW_NRT_MON,EIW_NRT_SYNC,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
567,B03ACIAPP019,EIW_OPPDTLC_AM1,EIW_OPPDTLC_AM_MTRC_AM,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
566,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_NET6,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
582,B03ACIAPP018,EIW_WSAI_TSS_AP,EIW_SCED_TSS_LOAD_AP,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
565,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_NET5,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
597,B03ACIAPP019,EIW_OPPDTLC_AM1,EIW_OPPDTLC_AM_ODEC1_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
576,B03ACIAPP017,EIW_WSAI_TSS_AM,EIW_SCED_TSS_LOAD_AM,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
577,B03ACIAPP018,EIW_DM_ARDELOAD,EIW_ESADM_ARDE11_LOAD,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
613,B03ACIAPP019,EIW_PST_TSS_W_AP,EIW_SCED_TSS_AP,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
596,B03ACIAPP019,EIW_OPPDTLC_AM1,EIW_OPPDTLC_AM_CMF1_AM,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
554,B03ACIAPP017,EIW_DPROPLOAD1,EIW_APPLY_NET1,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
595,B03ACIAPP019,EIW_RM_D30,EIW_ROADMAP_FACT_30_D,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
580,B03ACIAPP027,EIW_DNMC_CUBE_AM,EIW_SYSHW_TRIG_UPDATE_AM,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
553,B03ACIAPP017,EIW_PDA_ARDELOAD,EIW_PDA_ARDE11_LOAD,B03ACIAPP017.ahe.boulder.ibm.com,,,,,
579,B03ACIAPP027,EIW_DNMC_CUBE_EM,EIW_GTS_TRIG_UPDATE_EM,B03ACIAPP018.ahe.boulder.ibm.com,,,,,
594,B03ACIAPP019,EIW_SWGOPPC_D30,EIW_SWGOPPC_30,B03ACIAPP019.ahe.boulder.ibm.com,,,,,
